Symbol,Name,Sector,industry,Exchange
KNX,"Knight Transportation, Inc.",Transportation,Trucking Freight/Courier Services,NYSE
KO,Coca-Cola Company (The),Consumer Non-Durables,Beverages (Production/Distribution),NYSE
KOD,Kodiak Sciences Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
KODK,Eastman Kodak Company,Miscellaneous,Industrial Machinery/Components,NYSE
KOF,Coca Cola Femsa S.A.B. de C.V.,Consumer Non-Durables,Beverages (Production/Distribution),NYSE
KOOL,Cesca Therapeutics Inc.,Capital Goods,Medical Specialities,NASDAQ
KOP,Koppers Holdings Inc.,Basic Industries,Forest Products,NYSE
KOPN,Kopin Corporation,Technology,Semiconductors,NASDAQ
KOS,Kosmos Energy Ltd.,Energy,Oil & Gas Production,NYSE
KOSS,Koss Corporation,Consumer Non-Durables,Consumer Electronics/Appliances,NASDAQ
KPFS,"Pepper Food Service Co., Ltd.",Consumer Services,Restaurants,NASDAQ
KPTI,Karyopharm Therapeutics Inc.,Health Care,Major Pharmaceuticals,NASDAQ
KR,Kroger Company (The),Consumer Services,Food Chains,NYSE
KRA,Kraton Corporation,Basic Industries,Major Chemicals,NYSE
KRC,Kilroy Realty Corporation,Consumer Services,Real Estate Investment Trusts,NYSE
KREF,KKR Real Estate Finance Trust Inc.,Consumer Services,Real Estate Investment Trusts,NYSE
